Longitude	Latitude	Elevation	Distance	CostPerKm	ElevCost	TurnCost	NodeCost	InitialCost	WayTags	NodeTags	Time	Energy
7953301	52168685	230	99	1000	0	0	0	0	highway=track tracktype=grade2 surface=gravel route_hiking_rwn=yes route_hiking_lwn=yes		67	33
7955793	52168133	230	208	1000	0	0	0	0	highway=track tracktype=grade2 surface=gravel route_hiking_rwn=yes route_hiking_lwn=yes		149	2230
7955590	52167671	232	10	1000	0	0	0	0	reversedirection=yes highway=track tracktype=grade2 surface=gravel route_hiking_lwn=yes		156	2356
7955458	52167243	232	91	1000	0	0	0	0	reversedirection=yes highway=track tracktype=grade2 surface=gravel route_hiking_lwn=yes		66	1511
7955519	52167182	231	7	1000	0	0	0	0	highway=path surface=gravel		71	1576
7955458	52167243	232	7	1000	0	0	0	0	reversedirection=yes highway=path surface=gravel		5	73
7955793	52168133	230	88	1000	0	0	0	0	highway=track tracktype=grade2 surface=gravel route_hiking_lwn=yes		67	891
7955793	52168133	230	13	1000	0	0	0	0	highway=track tracktype=grade2 surface=gravel route_hiking_lwn=yes		9	93
7960798	52166612	219	384	1000	0	0	0	0	highway=track tracktype=grade2 surface=gravel route_hiking_rwn=yes route_hiking_lwn=yes		265	190
7961594	52166449	219	58	1000	0	0	0	0	highway=track tracktype=grade1 surface=gravel route_hiking_rwn=yes route_hiking_lwn=yes	highway=crossing crossing=unmarked	305	208
7963039	52166336	217	101	1000	0	0	0	0	highway=track route_hiking_rwn=yes route_hiking_lwn=yes		374	296
7963273	52166280	218	16	1000	0	0	0	0	highway=track route_hiking_rwn=yes		385	365
7964471	52165488	214	115	1000	0	0	0	0	highway=track route_hiking_rwn=yes		80	737
7966443	52165497	211	146	1000	0	0	0	0	highway=track route_hiking_rwn=yes		99	177
7969307	52164260	208	243	1000	0	0	0	0	highway=track route_hiking_rwn=yes	highway=crossing crossing=unmarked	165	190
7969553	52164212	209	18	1000	0	0	0	0	highway=tertiary maxspeed=50 route_bicycle_icn=yes route_bicycle_ncn=yes route_bicycle_rcn=yes route_bicycle_lcn=yes route_hiking_rwn=yes	highway=crossing crossing=unmarked	178	510
7970883	52163440	213	146	1000	0	0	0	0	highway=track route_hiking_rwn=yes		286	3286
7970241	52163363	209	9	1000	0	0	0	0	reversedirection=yes highway=track tracktype=grade3 surface=compacted		293	3541
7970883	52163440	213	9	1000	0	0	0	0	highway=track tracktype=grade3 surface=compacted		6	159
7976488	52162674	217	384	1000	0	0	0	0	highway=track route_hiking_rwn=yes		296	8925
7977934	52162154	216	129	1000	0	0	0	0	highway=track route_hiking_rwn=yes		90	714
7979387	52160620	205	204	1000	0	0	0	0	highway=track route_hiking_rwn=yes	highway=crossing crossing=unmarked	135	495
7979097	52160665	204	14	1000	0	0	0	0	reversedirection=yes highway=service surface=asphalt		144	495
7979387	52160620	205	14	1000	0	0	0	0	highway=service surface=asphalt	highway=crossing crossing=unmarked	10	215
7980181	52160478	206	57	1000	0	0	0	0	highway=service surface=asphalt route_hiking_rwn=yes		53	1471
7980219	52160233	203	26	1000	0	0	0	0	highway=service route_hiking_lwn=yes		70	1564
7980248	52160078	201	20	1000	0	0	0	0	highway=service route_hiking_lwn=yes		13	27
7980066	52159617	193	54	1000	0	0	0	0	highway=service service=driveway route_hiking_lwn=yes		48	27
7980216	52159299	187	38	1000	0	0	0	0	highway=service service=driveway route_hiking_lwn=yes		25	9
7980434	52159159	184	22	1000	0	0	0	0	reversedirection=yes highway=footway	barrier=bollard	38	9
7980434	52159148	184	1	1000	0	0	0	0	reversedirection=yes highway=footway		39	9
7980499	52159099	183	7	1000	0	0	0	0	highway=footway		43	9
7980516	52159060	182	4	1000	0	0	0	0	highway=steps		46	9
7980504	52159031	182	5	1000	0	0	0	0	reversedirection=yes highway=footway		49	9
7980519	52158995	181	4	1000	0	0	0	0	reversedirection=yes highway=steps		51	9
7980504	52159031	182	4	1000	0	0	0	0	highway=steps		2	62
7980154	52159049	183	27	1000	0	0	0	0	highway=footway		23	692
7980128	52159203	186	9	1000	0	0	0	0	highway=track surface=gravel motor_vehicle=private route_hiking_lwn=yes mtb:scale:uphill=1		30	947
7980346	52158882	180	33	1000	0	0	0	0	reversedirection=yes highway=track surface=gravel motor_vehicle=private route_hiking_lwn=yes mtb:scale:uphill=1		23	116
7980273	52156590	147	254	1000	0	0	0	0	reversedirection=yes highway=track surface=gravel route_hiking_lwn=yes mtb:scale:uphill=1		202	116
7979516	52156213	142	64	1000	0	0	0	0	reversedirection=yes highway=track surface=gravel route_hiking_lwn=yes mtb:scale:uphill=1		43	31
7979557	52155368	124	114	1000	0	0	0	0	reversedirection=yes highway=track surface=gravel route_hiking_lwn=yes mtb:scale:uphill=1		77	52
7979329	52155559	129	13	1000	0	0	0	0	highway=track route_hiking_lwn=yes		86	52
7979329	52155559	129	14	1000	0	0	0	0	highway=track route_hiking_lwn=yes		10	445
7976352	52155320	127	189	1000	0	0	0	0	reversedirection=yes highway=track tracktype=grade3 surface=compacted route_hiking_lwn=yes		146	2494
7973499	52155937	132	214	1000	0	0	0	0	reversedirection=yes highway=track tracktype=grade3 surface=compacted route_hiking_lwn=yes		170	7739
7972223	52155932	126	120	1000	0	0	0	0	reversedirection=yes highway=track tracktype=grade3 surface=compacted route_hiking_lwn=yes		79	56
7971914	52155903	124	21	1000	0	0	0	0	reversedirection=yes highway=track tracktype=grade1 surface=asphalt route_hiking_lwn=yes		92	56
7971950	52156136	128	7	1000	0	0	0	0	highway=tertiary surface=asphalt maxspeed=50 sidewalk=no oneway=no route_bicycle_icn=yes route_bicycle_ncn=yes route_bicycle_rcn=yes		96	56
7971914	52155903	124	7	1000	0	0	0	0	reversedirection=yes highway=tertiary surface=asphalt maxspeed=50 sidewalk=no oneway=no route_bicycle_icn=yes route_bicycle_ncn=yes route_bicycle_rcn=yes		4	5
7971886	52155070	113	93	1000	0	0	0	0	reversedirection=yes highway=tertiary surface=asphalt maxspeed=50 oneway=no route_bicycle_icn=yes route_bicycle_ncn=yes route_bicycle_rcn=yes route_hiking_lwn=yes		62	5
7971778	52155060	113	7	1000	0	0	0	0	reversedirection=yes highway=service route_bicycle_icn=yes route_bicycle_ncn=yes route_bicycle_rcn=yes route_hiking_lwn=yes		66	5
7971530	52155050	113	6	1000	0	0	0	0	reversedirection=yes highway=service surface=paving_stones route_hiking_lwn=yes		69	5
7971530	52155050	113	11	1000	0	0	0	0	reversedirection=yes highway=service surface=paving_stones route_hiking_lwn=yes		7	101
7970442	52155435	119	94	1000	0	0	0	0	highway=track surface=asphalt route_hiking_lwn=yes		79	2442
7967591	52155208	117	197	1000	0	0	0	0	highway=track surface=asphalt route_hiking_lwn=yes		144	2857
7966582	52155107	114	12	1000	0	0	0	0	highway=track surface=gravel		152	2857
7967591	52155208	117	12	1000	0	0	0	0	reversedirection=yes highway=track surface=gravel		8	181
7962718	52156093	119	386	1000	0	0	0	0	highway=path surface=gravel route_hiking_lwn=yes		301	9459
7962443	52156658	126	66	1000	0	0	0	0	reversedirection=yes highway=track tracktype=grade3 surface=gravel route_hiking_=yes		348	10218
7962418	52156404	122	26	1000	0	0	0	0	highway=track tracktype=grade3 surface=gravel route_hiking_=yes		18	69
7962718	52156093	119	39	1000	0	0	0	0	highway=track tracktype=grade3 surface=gravel route_hiking_=yes		26	0
7962943	52155792	115	38	1000	0	0	0	0	highway=track surface=gravel route_hiking_lwn=yes route_hiking_=yes		51	86
7962877	52155061	106	14	1000	0	0	0	0	highway=residential surface=paved		60	86
7962943	52155792	115	14	1000	0	0	0	0	reversedirection=yes highway=residential surface=paved		10	330
7962718	52156093	119	38	1000	0	0	0	0	reversedirection=yes highway=track surface=gravel route_hiking_lwn=yes route_hiking_=yes		39	1115
7962586	52156183	119	10	1000	0	0	0	0	reversedirection=yes highway=track tracktype=grade3 surface=gravel route_hiking_=yes		46	1377
7962718	52156093	119	10	1000	0	0	0	0	highway=track tracktype=grade3 surface=gravel route_hiking_=yes		7	71
7961934	52155800	110	63	1000	0	0	0	0	highway=track surface=gravel route_hiking_lwn=yes route_hiking_=yes		49	146
7962943	52155792	115	25	1000	0	0	0	0	reversedirection=yes highway=track surface=gravel route_hiking_lwn=yes route_hiking_=yes		18	546
7963056	52155898	117	12	1000	0	0	0	0	highway=service access=private		27	818
7962943	52155792	115	12	1000	0	0	0	0	reversedirection=yes highway=service access=private		8	4
7962718	52156093	119	38	1000	0	0	0	0	reversedirection=yes highway=track surface=gravel route_hiking_lwn=yes route_hiking_=yes		36	756
7962418	52156404	122	29	1000	0	0	0	0	reversedirection=yes highway=track tracktype=grade3 surface=gravel route_hiking_=yes		59	1650
7962496	52157013	131	79	1000	0	0	0	0	reversedirection=yes highway=track tracktype=grade3 surface=gravel route_hiking_=yes		63	3022
7961420	52158421	144	175	1000	0	0	0	0	reversedirection=yes highway=track tracktype=grade3 surface=gravel route_hiking_=yes		150	9524
7962056	52159534	153	131	1000	0	0	0	0	reversedirection=yes highway=track tracktype=grade3 surface=gravel route_hiking_=yes		100	3534
7962107	52159587	153	1	1000	0	0	0	0	highway=track tracktype=grade3 surface=compacted vehicle=no		101	3573
7962056	52159534	153	1	1000	0	0	0	0	reversedirection=yes highway=track tracktype=grade3 surface=compacted vehicle=no		0	9
7959864	52160492	173	176	1000	0	0	0	0	reversedirection=yes highway=track tracktype=grade3 surface=gravel route_hiking_=yes		149	8946
7954237	52160003	151	407	1000	0	0	0	0	reversedirection=yes highway=track tracktype=grade3 surface=gravel route_hiking_=yes		275	2987
7952809	52159629	148	112	1000	0	0	0	0	reversedirection=yes highway=track tracktype=grade3 surface=gravel		344	2987
7952704	52158974	144	77	1000	0	0	0	0	reversedirection=yes highway=track tracktype=grade3 surface=gravel		53	190
7954154	52157902	134	152	1000	0	0	0	0	reversedirection=yes highway=track tracktype=grade3 surface=gravel		100	208
7953895	52157079	123	87	1000	0	0	0	0	reversedirection=yes highway=track tracktype=grade3 surface=gravel		53	28
7953895	52157079	123	12	1000	0	0	0	0	reversedirection=yes highway=track tracktype=grade3 surface=gravel		8	0
7952503	52157246	124	107	1000	0	0	0	0	reversedirection=yes highway=path surface=gravel route_hiking_lwn=yes route_hiking_=yes		86	1551
7951122	52157486	123	100	1000	0	0	0	0	reversedirection=yes highway=path surface=gravel route_hiking_lwn=yes		157	2605
7950947	52158165	133	73	1000	0	0	0	0	reversedirection=yes highway=path surface=gravel route_hiking_lwn=yes		57	2448
7950446	52158293	133	43	1000	0	0	0	0	reversedirection=yes highway=path surface=gravel route_hiking_lwn=yes		31	616
7948128	52158494	120	161	1000	0	0	0	0	reversedirection=yes highway=path surface=gravel route_hiking_lwn=yes		103	195
7948128	52158494	120	3	1000	0	0	0	0	reversedirection=yes highway=path surface=gravel route_hiking_lwn=yes		2	21
7949047	52159599	133	136	1000	0	0	0	0	highway=path		109	4574
7948535	52160119	129	77	1000	0	0	0	0	highway=path		53	403
7948791	52160563	134	60	1000	0	0	0	0	highway=path		45	1331
7948223	52160797	132	50	1000	0	0	0	0	highway=path		34	76
7948774	52161014	139	34	1000	0	0	0	0	highway=track tracktype=grade4		59	720
7947858	52160775	130	60	1000	0	0	0	0	reversedirection=yes highway=track tracktype=grade4		39	0
